feature,auc,auc_within_date_rank,finite_share
atr14_pct,0.6811992384023761,0.6717369150933948,0.9797628617738178
cs_atr_z,0.6746945155316325,0.6717369146714594,0.9797628617738178
vol20,0.6728394606993562,0.6638523925220046,0.976177997288037
cs_atr_rank,0.6719854108389255,0.6717369150933948,0.9797628617738178
range_pct,0.6669794994329139,0.6468457412811276,0.9880889986440184
vol10,0.6654712006691407,0.655907421414123,0.9821334979660277
vol60,0.6555510268522503,0.6596730111682917,0.9523709159683145
vol5,0.6525742199744736,0.6367758584356824,0.9857183624518085
limitup_20,0.6072449550761522,0.6057577401058091,0.9773698434932472
range_20_60,0.6003333744743491,0.5720453525057712,0.9535627621735246
beta_60,0.5916758663738613,0.592496362648065,0.9642744566281757
vol_ratio_20_60,0.5892355107024012,0.5675153296802098,0.9535627621735246
limitup_10,0.5858097768680632,0.5718409274900029,0.9833253441712378
cs_pos60_z,0.5840466111757646,0.5808932295315443,0.9535627621735246
cs_ret60_rank,0.5819794009422352,0.5816726306382538,0.9166808109030613
dist_ma60,0.5818603517884156,0.5912940028058069,0.9535627621735246
cs_pos60_rank,0.5810915610027791,0.5808877576367905,0.9535627621735246
cs_ret60_z,0.580279130573087,0.5816726233031024,0.9166808109030613
cs_ret20_rank,0.5802688595299018,0.5805853655566691,0.9642744566281757
dist_ma20,0.5795769432679827,0.5807169436685351,0.9773698434932472
cs_ret20_z,0.5755346038796606,0.5805855779429838,0.9642744566281757
ret20,0.575236453505833,0.5805853655566691,0.9642744566281757
vol_stability_20,0.5750574159399551,0.557178420701117,0.9773698434932472
range_5_20,0.5728292008485288,0.5577463411503687,0.9773698434932472
mkt_vol20,0.5722322492369284,0.4960703703620797,0.9859850823381076
vol_ratio_5_20,0.5692759958477189,0.5561184097836577,0.9773698434932472
vol_ma5,0.5690056844160514,0.568684822166563,0.9869083434829887
pos_60,0.5664481558417098,0.5808877576367905,0.9535627621735246
ret60,0.5642436234814906,0.5816726306382538,0.9166808109030613
limitup_5,0.5624309502219313,0.5351476781977441,0.9869083434829887
ret10,0.5597348622985793,0.5714826669885558,0.976177997288037
dist_ma10,0.5596766775355277,0.5654611682673052,0.9833253441712378
cs_ret5_rank,0.558208152109349,0.5585400966997731,0.9821334979660277
cs_volratio_z,0.5572783051267154,0.5561184097836577,0.9773698434932472
cs_volratio_rank,0.5562027608398192,0.5561184097836577,0.9773698434932472
cs_ret5_z,0.5551231582898555,0.5585403644215239,0.9821334979660277
dist_ma120,0.5538036775263652,0.5902934067317062,0.9178726571082715
dist_ma5,0.5529363320923099,0.547659725634645,0.9869083434829887
vol_ratio_1_5,0.552772845781806,0.5265312192543072,0.9869083434829887
ret5,0.5524844464821335,0.5585400966997731,0.9821334979660277
vol_ma20,0.5520160264963592,0.5568360023660008,0.9773698434932472
ret3,0.5519544718470444,0.5480953465530038,0.9845227858985383
ret2,0.5498221032907835,0.5408290096252366,0.9857183624518085
up_rate_20,0.5471882589329099,0.5517546053955822,0.9773698434932472
ma20_slope,0.5464818813704355,0.5531478843281137,0.9642744566281757
mkt_dispersion,0.5427043325983752,0.4958714675788769,0.987035175317033
to_high_250,0.5416626552142078,0.4893859746921074,0.8407160030066605
kdj_k,0.5412960524926359,0.5544976233360133,0.9880889986440184
kdj_j,0.5411324962168462,0.5464647684454387,0.9880889986440184
pos_120,0.5394932423155498,0.5805915577353818,0.9178726571082715
ma10_slope,0.538333376573168,0.5538240219820854,0.976177997288037
ma5_slope,0.5368274779049422,0.5487922447815721,0.9821334979660277
ret1,0.5352625302909063,0.528382184334586,0.9869083434829887
kdj_d,0.5348508066034121,0.5529481503807551,0.9880889986440184
body_pct,0.5324974202304743,0.5271434109224197,0.9880889986440184
ma60_slope,0.5300763928550386,0.5479950967233209,0.9166808109030613
vol_ma60,0.5291877314699955,0.5421130291563897,0.9535627621735246
kdj_k_minus_d,0.528017592237242,0.5226243030484972,0.9880889986440184
ret120,0.5267044526384569,0.5802826429873958,0.8454554102170503
to_high_120,0.5251849535648598,0.4906219982250059,0.9178726571082715
dist_ma250,0.5237955643619875,0.5812539531273541,0.8407160030066605
limitup_yesterday,0.5229120381717585,0.47282516612721076,0.9869083434829887
pos_250,0.5218374722334675,0.567067507139481,0.8407160030066605
resid_ret1,0.5211632560763398,0.5255210257357827,0.9642744566281757
kdj_j_chg5,0.5198999801913884,0.5164110975199764,0.9821334979660277
mkt_ret1,0.5169593451952007,0.4958714675788769,0.987035175317033
mkt_breadth,0.5159738001885159,0.49554895477433947,0.9880889986440184
kdj_k_chg5,0.5145041933015271,0.5222324703714821,0.9821334979660277
close_loc,0.5089280957851152,0.5027825940267701,0.9880889986440184
gap_open,0.5077985052739288,0.4973276570731826,0.9869083434829887
to_high_60,0.5056309707088307,0.496703955186827,0.9535627621735246
mkt_ret5,0.49974796541487,0.4960703703620797,0.9859850823381076
mkt_ret20,0.497020604077298,0.4960703703620797,0.9859850823381076
ma120_slope,0.4945624082929102,0.5429008500042841,0.8454554102170503
dd_60,0.4943691205219677,0.5032992399702693,0.9535627621735246
upper_wick,0.4868324927114972,0.49025397958158035,0.9880889986440184
ret250,0.48096474997700467,0.5593830301285707,0.691815429838681
dd_120,0.47481511100334467,0.5093812186694453,0.9178726571082715
mkt_ret60,0.4661572231178148,0.4960703703620797,0.9859850823381076
lower_wick,0.46309937810932583,0.46917896502382767,0.9880889986440184
dd_250,0.4583373746041971,0.510617279555898,0.8407160030066605
ma250_slope,0.4499286783191018,0.5118647852261231,0.691815429838681
