label,horizon_sessions,signals,resolved,gross_mean_return,gross_median_return,net_mean_return,net_median_return,net_win_rate,net_p10,net_p90,cost_bps_round_trip
"ALL Web Pro signals, hold 10",10,646718,637499,0.004466082638415706,-0.005405405405405461,0.0034460826384157058,-0.006425405405405461,0.4661575939726964,-0.11876655217278173,0.12831417455310246,10.2
"ALL Web Pro signals, hold 20",20,646718,629338,0.011626412807925457,-0.006802721088435382,0.010606412807925455,-0.007822721088435382,0.4721866469210504,-0.1588036029223949,0.1869835810205909,10.2
"ALL Web Pro signals, hold 60",60,646718,598980,0.021179504387670654,-0.024456521739130488,0.020159504387670644,-0.025476521739130488,0.44361080503522654,-0.23227013991493176,0.30098663484100663,10.2
strict_platform_breakout_v2,10,19777,19538,-0.002096931083001582,-0.010005631335252174,-0.0031169310830015816,-0.011025631335252174,0.4346913706622991,-0.10955562836167088,0.10283415022732129,10.2
strict_oversold_rebound_v2,10,147964,146580,0.008460159744334107,0.0,0.007440159744334107,-0.0010199999999999999,0.49781689179969985,-0.0967646808510638,0.12184439487138199,10.2
bollinger_squeeze,10,48501,47903,0.0011063889301956439,-0.006379585326953596,8.638893019564296e-05,-0.007399585326953596,0.45312402146003383,-0.10618672656438488,0.10545776290816526,10.2
obv_volume_price,10,77978,76693,0.004577413928016655,-0.006746120980436254,0.0035574139280166546,-0.007766120980436254,0.4583208376253374,-0.11794423980885062,0.12800426430443484,10.2
washout_complete,10,5916,5755,0.0004210917958257028,-0.018103328227266346,-0.0005989082041742992,-0.019123328227266347,0.4251954821894005,-0.1335001324503311,0.14791682022526248,10.2
main_wave_acceleration,10,14736,14482,-0.0016006623443207697,-0.017163379070217977,-0.0026206623443207734,-0.018183379070217977,0.42273166689683744,-0.14792301673876337,0.14935699863484148,10.2
donchian_turtle,10,24564,24242,-0.00135320582631357,-0.01416255972421232,-0.002373205826313573,-0.01518255972421232,0.4306987872287765,-0.14226823176460582,0.1384945459847687,10.2
relative_strength_rank,10,20366,20112,-0.0014984043433140554,-0.02303582527707959,-0.0025184043433140587,-0.02405582527707959,0.4170644391408115,-0.16945931858509927,0.18062731155920964,10.2
atr_trend_follow,10,38463,37800,0.0007349481959512578,-0.01017239536056419,-0.000285051804048743,-0.01119239536056419,0.44275132275132273,-0.12860851570669965,0.1271851282051282,10.2
strict_washout_complete,10,19897,19351,0.004765411258731067,-0.009259259259259411,0.0037454112587310654,-0.010279259259259411,0.4554803369334918,-0.12862929499803075,0.14415876489707483,10.2
strict_platform_breakout,10,13206,13034,-0.0026526461204396347,-0.011246135469364815,-0.003672646120439635,-0.012266135469364815,0.4270369802056161,-0.11124037124368213,0.10488811930440496,10.2
strict_washout_complete_v2,10,23412,22770,0.004563897817435753,-0.008927907199183793,0.0035438978174357513,-0.009947907199183793,0.45687307861220905,-0.12852304455637528,0.14214804270744436,10.2
