version,display_name,regime,min_tier,model,signals_deduped,bull_hits,bull_precision,wilson_low,wilson_high,joint_hits,joint_precision,distinct_stocks,distinct_dates,in_sample,score_auc_within_signals,candidates_pool,hit_rate_pct,baseline_rate,lift_vs_baseline
V00,V00 Low-Zone Base (any tier),webpro,1,rule,71841,2245,0.03124956501162289,0.03000211476201451,0.03254714232551666,2240,0.0311799668712852,3186,629,False,,481782,3.12,0.030893409619882323,1.0115285232715574
V01,V01 L3 Reversal Rule,webpro,3,rule,48838,1437,0.029423809328801342,0.027961658032057222,0.03095998318507515,1436,0.02940333346983906,3181,621,False,,165817,2.94,0.030893409619882323,0.9524299742513633
V02,V02 L5 Full Stack Rule,webpro,5,rule,14799,485,0.032772484627339685,0.030023070490783274,0.035764397511882054,485,0.032772484627339685,3102,595,False,,35155,3.28,0.030893409619882323,1.0608244616109979
V03,V03 Gain Model (tier>=1),webpro,1,gain,26897,1176,0.043722348217273305,0.041343155783332884,0.04623185418157743,1173,0.04361081161467822,3061,604,False,0.6419614819335034,481782,4.37,0.030893409619882323,1.4152645743943575
V06,V06 Competitive Gain-minus-Loss,webpro,3,competitive,18734,543,0.028984733639372266,0.026677284827940892,0.031485308831301524,543,0.028984733639372266,3016,583,False,0.5495915330876396,165817,2.9,0.030893409619882323,0.938217373737806
V07,"V07 Competitive, per-year threshold",webpro,3,competitive,8666,367,0.04234941149319178,0.038308279720270885,0.046796097600264125,367,0.04234941149319178,2610,556,True,0.49131345452684066,165817,4.23,0.030893409619882323,1.3708234867651716
V08,V08 First Signal per Stock-Year,webpro,3,competitive,4907,200,0.04075810067250866,0.03557547838278686,0.0466591981399763,200,0.04075810067250866,2610,503,True,0.47641401273885353,165817,4.08,0.030893409619882323,1.319313768664681
V00,V00 Low-Zone Base (any tier),low60,1,rule,18952,15,0.0007914731954411144,0.0004797203407475898,0.0013055582971968488,14,0.0007387083157450401,3178,536,False,,417747,0.08,0.0007251188813323868,1.0915081868876497
V01,V01 L3 Reversal Rule,low60,3,rule,15363,14,0.0009112803488901907,0.0005429281110337138,0.0015291606071339923,14,0.0009112803488901907,3168,547,False,,141751,0.09,0.0007251188813323868,1.2567323405173743
V02,V02 L5 Full Stack Rule,low60,5,rule,8237,12,0.0014568410829185383,0.0008335945167339805,0.0025448782957594156,12,0.0014568410829185383,3042,527,False,,31145,0.15,0.0007251188813323868,2.0091065346990153
V03,V03 Gain Model (tier>=1),low60,1,gain,17622,14,0.000794461468618772,0.0004733207030166712,0.0013332006420825357,13,0.0007377142208602883,3168,538,False,0.41725913625324534,417747,0.08,0.0007251188813323868,1.0956292672436967
V06,V06 Competitive Gain-minus-Loss,low60,3,competitive,9347,9,0.000962875789023216,0.0005066673027778241,0.001829107388396195,9,0.000962875789023216,3083,525,False,0.4284835395989054,141751,0.1,0.0007251188813323868,1.3278867973399853
V07,"V07 Competitive, per-year threshold",low60,3,competitive,4968,7,0.0014090177133655394,0.0006827029307977352,0.00290579822485377,7,0.0014090177133655394,2498,500,True,0.4252792363830544,141751,0.14,0.0007251188813323868,1.9431540808543097
V08,V08 First Signal per Stock-Year,low60,3,competitive,4136,3,0.0007253384912959381,0.00024671051678222056,0.002130544486480063,3,0.0007253384912959381,2498,483,True,0.28770310774570124,141751,0.07,0.0007251188813323868,1.0003028606332078
