label,signals,signals_raw,censored,hits,hit_rate,unfillable,unfillable_pct,one_word_limit,gapped_at_limit,no_next_bar,tradeable_signals,tradeable_hits,tradeable_hit_rate
leader_momentum,616,619,3,127,0.20616883116883117,98,0.1590909090909091,32,98,0,518,95,0.1833976833976834
strict_gap_follow_through,3137,3172,35,446,0.1421740516416959,425,0.1354797577303156,167,425,0,2712,338,0.12463126843657817
gap_follow_through,3978,4022,44,517,0.12996480643539468,480,0.12066365007541478,189,480,0,3498,395,0.11292166952544311
strict_leader_momentum_v2,3239,3261,22,517,0.15961716579191107,366,0.11299783883914788,122,366,0,2873,423,0.14723285764009747
strict_gap_follow_through_v2,5981,6040,59,698,0.11670289249289416,560,0.09362982778799532,222,560,0,5421,555,0.10237963475373547
strict_relative_strength,2864,2889,25,451,0.15747206703910616,188,0.06564245810055866,63,188,0,2676,393,0.1468609865470852
strict_obv_volume_price,2857,2887,30,351,0.12285614280714036,181,0.06335316765838292,57,181,0,2676,309,0.11547085201793722
strict_obv_volume_price_v2,2892,2923,31,357,0.12344398340248963,181,0.06258644536652835,57,181,0,2711,315,0.11619328661010697
strict_relative_strength_v2,3267,3299,32,498,0.15243342516069788,201,0.06152433425160698,69,201,0,3066,436,0.14220482713633398
turnover_weak_to_strong,269,269,0,30,0.11152416356877323,12,0.04460966542750929,8,12,0,257,27,0.10505836575875487
turnover_regime_switch,2844,2891,47,248,0.08720112517580872,116,0.040787623066104076,55,116,0,2728,220,0.08064516129032258
main_wave_acceleration,14482,14736,254,1269,0.08762601850573125,578,0.03991161441789808,252,578,0,13904,1110,0.0798331415420023
relative_strength_rank,20112,20366,254,2235,0.11112768496420047,786,0.039081145584725537,332,786,0,19326,2017,0.10436717375556245
donchian_turtle,24242,24564,322,1941,0.08006765118389572,877,0.03617688309545417,382,877,0,23365,1711,0.07322918895784293
strict_turnover_weak_to_strong_v2,6792,6834,42,691,0.10173733804475854,218,0.03209658421672556,80,218,0,6574,647,0.09841801034377852
limit_up_retest,12035,12195,160,1286,0.10685500623182384,356,0.029580390527627752,131,356,0,11679,1196,0.10240602791334874
strict_bollinger_release_v2,3722,3763,41,235,0.0631380977968834,97,0.026061257388500805,36,97,0,3625,219,0.06041379310344828
atr_trend_follow,37800,38463,663,2484,0.06571428571428571,943,0.024947089947089947,409,943,0,36857,2243,0.06085682502645359
oversold_rebound,334,336,2,41,0.12275449101796407,8,0.023952095808383235,5,8,0,326,38,0.1165644171779141
platform_breakout,1514,1537,23,87,0.05746367239101717,31,0.02047556142668428,14,31,0,1483,79,0.053270397842211735
strict_washout_complete,19351,19897,546,1212,0.06263242209704925,335,0.017311766833755363,151,335,0,19016,1120,0.058897770298695834
strict_washout_complete_v2,22770,23412,642,1388,0.06095740008783487,383,0.016820377689942906,170,383,0,22387,1285,0.05739938357082235
washout_complete,5755,5916,161,382,0.06637706342311034,96,0.016681146828844483,47,96,0,5659,356,0.06290864110266832
reversal_engulf,62,63,1,6,0.0967741935483871,1,0.016129032258064516,0,1,0,61,5,0.08196721311475409
bollinger_squeeze,47903,48501,598,2229,0.04653153247187024,660,0.013777842723837756,281,660,0,47243,2081,0.04404885379844633
strict_platform_breakout,13034,13206,172,554,0.042504219733005985,161,0.012352309344790547,69,161,0,12873,520,0.04039462440767498
high_level_consensus,162,169,7,10,0.06172839506172839,2,0.012345679012345678,1,2,0,160,9,0.05625
obv_volume_price,76693,77978,1285,4482,0.0584407964220985,897,0.011695982684208468,373,897,0,75796,4255,0.056137527046282124
strict_platform_breakout_v2,19538,19777,239,806,0.041252942982905105,228,0.011669566997645613,92,228,0,19310,760,0.03935784567581564
strict_first_board_breakout_v2,16420,16643,223,766,0.04665042630937881,140,0.008526187576126675,69,140,0,16280,743,0.04563882063882064
pullback_retest,7948,8165,217,330,0.04151987921489683,62,0.007800704579768495,29,62,0,7886,309,0.039183362921633276
strict_accumulation_base_v2,77081,78544,1463,2672,0.034664833097650526,364,0.004722305107614068,151,364,0,76717,2591,0.033773479150644575
first_board_breakout,5749,5803,54,246,0.042790050443555404,18,0.0031309793007479564,9,18,0,5731,244,0.042575466759727794
strict_oversold_rebound_v2,146580,147964,1384,5146,0.035107108746077226,324,0.0022103970528039294,163,324,0,146256,5073,0.03468575648178536
rsi_mean_reversion,25476,25614,138,1045,0.041018998272884286,37,0.001452347307269587,17,37,0,25439,1036,0.040724871260662765
