strategy_id,batch_tag,threshold,yes_predictions,tp,fp,yes_precision,positive_recall,accuracy,errors
leader_momentum,initial-10,0.9,2,2,0,1.0,0.04,0.52,0
first_board_breakout,initial-10,0.9,0,0,0,,0.0,0.5,0
reversal_engulf,initial-10,0.82,0,0,0,,0.0,0.5,0
washout_complete,initial-10,0.82,5,5,0,1.0,0.1,0.55,0
accumulation_base,initial-10,0.9,0,0,0,,0.0,0.5,0
platform_breakout,initial-10,0.8,1,1,0,1.0,0.02,0.51,0
main_wave_acceleration,initial-10,0.85,25,14,11,0.56,0.28,0.53,0
oversold_rebound,initial-10,0.82,1,1,0,1.0,0.02,0.51,0
turnover_weak_to_strong,initial-10,0.9,0,0,0,,0.0,0.5,0
high_level_consensus,initial-10,0.8,0,0,0,,0.0,0.5,0
donchian_turtle,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.72,39,24,15,0.6153846153846154,0.48,0.59,0
bollinger_squeeze,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.7,62,25,37,0.4032258064516129,0.5,0.38,0
rsi_mean_reversion,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.68,0,0,0,,0.0,0.5,0
gap_follow_through,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.72,16,11,5,0.6875,0.22,0.56,0
pullback_retest,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.7,1,0,1,0.0,0.0,0.49,0
obv_volume_price,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.7,64,35,29,0.546875,0.7,0.56,0
turnover_regime_switch,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.62,4,1,3,0.25,0.02,0.48,0
relative_strength_rank,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.72,45,25,20,0.5555555555555556,0.5,0.55,0
atr_trend_follow,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.72,44,27,17,0.6136363636363636,0.54,0.6,0
limit_up_retest,01a00acc-695f-7792-b239-b4a4c09e5d3c,0.7,23,11,12,0.4782608695652174,0.22,0.49,0
strict_washout_complete,strict-precision-2026-08-18,0.72,15,12,3,0.8,0.24,0.59,0
strict_gap_follow_through,strict-precision-2026-08-18,0.75,13,10,3,0.7692307692307693,0.2,0.57,0
strict_platform_breakout,strict-precision-2026-08-18,0.65,9,7,2,0.7777777777777778,0.14,0.55,0
strict_relative_strength,strict-precision-2026-08-18,0.96,9,7,2,0.7777777777777778,0.14,0.55,0
strict_obv_volume_price,strict-precision-2026-08-18,0.97,9,7,2,0.7777777777777778,0.14,0.55,0
strict_gap_follow_through_v2,strict-precision-v2-development-2026-08-18,0.690867,22,16,6,0.7272727272727273,0.32,0.6,0
strict_turnover_weak_to_strong_v2,strict-precision-v2-development-2026-08-18,0.70274,19,13,6,0.6842105263157895,0.26,0.57,0
strict_washout_complete_v2,strict-precision-v2-development-2026-08-18,0.703662,18,13,5,0.7222222222222222,0.26,0.58,0
strict_oversold_rebound_v2,strict-precision-v2-development-2026-08-18,0.449606,17,12,5,0.7058823529411765,0.24,0.57,0
strict_accumulation_base_v2,strict-precision-v2-development-2026-08-18,0.462083,15,11,4,0.7333333333333333,0.22,0.57,0
strict_relative_strength_v2,strict-precision-v2-development-2026-08-18,0.95137,11,8,3,0.7272727272727273,0.16,0.55,0
strict_leader_momentum_v2,strict-precision-v2-development-2026-08-18,0.788535,11,8,3,0.7272727272727273,0.16,0.55,0
strict_platform_breakout_v2,strict-precision-v2-development-2026-08-18,0.607503,11,8,3,0.7272727272727273,0.16,0.55,0
strict_obv_volume_price_v2,strict-precision-v2-development-2026-08-18,0.969655,10,7,3,0.7,0.14,0.54,0
strict_first_board_breakout_v2,strict-precision-v2-development-2026-08-18,0.7,7,5,2,0.7142857142857143,0.1,0.53,0
strict_bollinger_release_v2,strict-precision-v2-development-2026-08-18,0.952088,5,4,1,0.8,0.08,0.53,0
